,Title,Author,Abstract,Link,Number,Date
BOARD2023-029,A Financial Stress Index for a Small Open Economy: The Australian Case,"Pedro Gomis-Porqueras, Romina Ruprecht, Xuan Zhou","We construct a Financial Stress Index (FSI) for a small open economy, which aims to provide clear and timely signals of financial market strains. This can be used in developing appropriate responses to address these adverse events. To do so, we use the principal component framework and apply it to Australian monthly data on interest rates, spreads, exchange rates, house price growth and inflation expectations. Decomposing the index into foreign and domestic components, we find that the foreign factors can explain more than half (57.4%) of our Australian Financial Stress Index (AFSI). To determine the information content of our index, we run a series of Granger causality tests on several economic and financial observables. We also estimate whether including the AFSI can improve the prediction of the different economic and financial outcomes relative to a specification that uses only its own previous data. We find that including the AFSI improves the forecasts for future retail sales growth and bank credit growth. Finally, we show that financial stress can have non-linear effects on bank credit growth. In particular, an increase in financial stress affects credit growth more adversely if AFSI is high. This result further highlights the importance of an accurate and timely measure of financial stress in an economy for researchers and policy makers.",https://www.federalreserve.gov/econres/feds/a-financial-stress-index-for-a-small-open-economy-the-australian-case.htm,2023-029,May-23
BOARD2023-037,Firm Financial Conditions and the Transmission of Monetary Policy,"Thiago R.T. Ferreira, Daniel A. Ostry, John Rogers","We study how the transmission of monetary policy to firms' investment and credit spreads depends on their financial conditions, finding a major role for their excess bond premia (EBPs), the component of credit spreads in excess of default risk. While monetary policy easing shocks compress credit spreads more for firms with higher ex-ante EBPs, it is lower-EBP firms that invest more. We rationalize these findings using a model with financial frictions in which lower-EBP firms have flatter marginal product of capital curves. We also show empirically that the cross-sectional distribution of firm EBPs determines the aggregate effectiveness of monetary policy.",https://www.federalreserve.gov/econres/feds/firm-financial-conditions-and-the-transmission-of-monetary-policy.htm,2023-037,Jun-23
BOARD2023-028,The Effects of Volatility on Liquidity in the Treasury Market,"Andrew Meldrum, Oleg Sokolinskiy","We study the relationship between volatility and liquidity in the market for on-the-run Treasury securities using a novel framework for quantifying price impact. We show that at times of relatively low volatility, marginal trades that go with the flow of existing trades tend to have a smaller price impact than trades that go against the flow. However, this difference tends to diminish at times of high volatility, indicating that the perceived information content of going against the flow is less when volatility is high. We also show that market participants executing trades aggressively using market orders will experience larger increases in price impact than those executing trades passively using limit orders as volatility increases. And times of low market depth are associated with increased risk of high price impact and high sensitivity to volatility in future, perhaps because liquidity is more reliant on high-speed quote replenishment and is therefore more fragile.",https://www.federalreserve.gov/econres/feds/the-effects-of-volatility-on-liquidity-in-the-treasury-market.htm,2023-028,May-23
BOARD2023-041,End of an Era: The Coming Long-Run Slowdown in Corporate Profit Growth and Stock Returns,Michael Smolyansky,"I show that the decline in interest rates and corporate tax rates over the past three decades accounts for the majority of the period’s exceptional stock market performance. Lower interest expenses and corporate tax rates mechanically explain over 40 percent of the real growth in corporate profits from 1989 to 2019. In addition, the decline in risk-free rates alone accounts for all of the expansion in price-to-earnings multiples. I argue, however, that the boost to profits and valuations from ever-declining interest and corporate tax rates is unlikely to continue, indicating significantly lower profit growth and stock returns in the future.",https://www.federalreserve.gov/econres/feds/end-of-an-era-the-coming-long-run-slowdown-in-corporate-profit-growth-and-stock-returns.htm,2023-041,Jun-23
BOARD2023-006,Monetary Policy and Home Buying Inequality,Daniel Ringo,"Does monetary policy influence who becomes a home owner? Home purchases by low- and moderate- income households may be particularly sensitive to mortgage interest rates, as these households' budgets are tighter and they more frequently come up against binding payment-to-income ratio constraints in credit decisions. Exploiting the timing of high-frequency observations of mortgage applicants locking in their interest rates around monetary policy shocks, I find that a 1 percentage point policy-induced increase in mortgage rates lowers the presence of low-income households in the population of home buyers by 1 percentage point, and of low- and moderate-income households by 2 percentage points, immediately following the shock. Effects are substantially stronger among first-time home buyers, and persist for approximately one year.",https://www.federalreserve.gov/econres/feds/monetary-policy-and-home-buying-inequality.htm,2023-006,Jan-23
BOARD2023-049,Why Does the Yield Curve Predict GDP Growth? The Role of Banks,"Camelia Minoiu, Andres Schneider, Min Wei","We provide evidence on the effect of the slope of the yield curve on economic activity through bank lending. Using detailed data on banks’ lending activities coupled with term premium shocks identified using high-frequency event study or instrumental variables, we show that a steeper yield curve associated with higher term premiums (rather than higher expected short rates) boosts bank profits and the supply of bank loans. Intuitively, a higher term premium represents greater expected profits on maturity transformation, which is at the core of banks’ business model, and therefore incentivizes bank lending. This effect is stronger for ex-ante more leveraged banks. We rationalize our findings in a portfolio model for banks.",https://www.federalreserve.gov/econres/feds/why-does-the-yield-curve-predict-gdp-growth-the-role-of-banks.htm,2023-049,Jul-23
BOARD2023-033,Optimal Bidder Selection in Clearing House Default Auctions,Rodney Garratt; David Murphy; Travis Nesmith; Xiaopeng Wu,"Default auctions at central counterparties (or 'CCPs') are critically important to financial stability. However, due to their unique features and challenges, standard auction theory results do not immediately apply. This paper presents a model for CCP default auctions that incorporates the CCP's non-standard objective of maximizing success above a threshold rather than revenue, the key question of who participates in the auction and the potential for information leakage affecting private portfolio valuations. We show that an entry fee, by appropriately inducing members to participate or not, can maximize the probability the auction succeeds. The result is novel, both in auction theory and as a mechanism for CCP auction design.",https://www.federalreserve.gov/econres/feds/optimal-bidder-selection-in-clearing-house-default-auctions.htm,2023-033,May-23
BOARD2023-023,Workplace Automation and Corporate Liquidity Policy,"Thomas W. Bates, Fangfang Du, Jessie Jiaxu Wang","Using an occupational probability of computerization, we measure a firm’s ability to replace labor with automated capital. Our evidence suggests that the potential to automate a workforce enhances operating flexibility, allowing firms to hold less precautionary cash. To provide evidence for this mechanism, we exploit the 2011–2012 Thailand hard drive crisis as an exogenous shock to the cost of automation. In addition, the negative relation between prospective automation and cash holdings is greater for firms with a lower expected cost of worker displacement and greater labor-induced operating leverage.",https://www.federalreserve.gov/econres/feds/workplace-automation-and-corporate-liquidity-policy.htm,2023-023,Apr-23
BOARD2023-050,"Disclosure Regulation, Intangible Capital and the Disappearance of Public Firms","Sara Casella, Hanbaek Lee, Sergio Villalvazo","Since the mid-1990s, the number of listed firms in the U.S. has halved, and their public disclosure has become opaquer. To explain these trends, we develop a general equilibrium model where the choices of going public or private and the transparency of voluntary disclosure are characterized analytically. In the equilibrium, the stock market with directed search and the private equity market with random search co-exist. According to the estimation, stricter disclosure regulation and increased intangible capital share are the key drivers of the observed patterns. Lastly, we characterize a policymaker’s trade-off between welfare and productivity and analyze the optimal policy.",https://www.federalreserve.gov/econres/feds/disclosure-regulation-intangible-capital-and-the-disappearance-of-public-firms.htm,2023-050,Jul-23
BOARD2023-022,The Role of Wages in Trend Inflation: Back to the 1980s?,Michael T. Kiley,"This paper examines whether the measurement of trend inflation can be improved by using wage data in a dynamic factor model of disaggregated prices and wages for the United States. The model features time-varying coefficients and stochastic volatility. An estimate of trend inflation is a time-varying distributed lag of prices and wages, where the weight on a series depends on its time-varying volatility, persistence, and comovement with other series. The results show that wages inform estimates of trend inflation. The weight on wages was highest around 1980, drifted down through the 2000s, and returned to its 1980s value by 2022. In addition, inflation in the 2020s appears to have unmoored moderately from the 2 percent range that prevailed for decades, as the role of the persistent component of inflation increased in recent year. However, accounting for wages lowers the model's view of the increase in the volatility of trend inflation.",https://www.federalreserve.gov/econres/feds/the-role-of-wages-in-trend-inflation-back-to-the-1980s.htm,2023-022,Apr-23
