,Title,Link,Date,Abstract,Author,Number
BIS1096,Money market funds and the pricing of near-money assets,http://www.bis.org/publ/work1096.htm,2023-05-02T12:00:00Z,"US money market funds (MMFs) play an important role in short-term markets as large investors of Treasury bills (T-bills) and repurchase agreements (repos). We build a theoretical model in which MMFs strategically interact with banks and each other. These interactions generate interdependencies between repo and T-bill markets, affecting the pricing of these near-money assets."," Sebastian Doerr, Egemen Eren and Semyon Malamud",1096
BIS1089,Intraday liquidity around the world,http://www.bis.org/publ/work1089.htm,2023-04-14T13:00:00Z,"We study intraday liquidity usage and its determinants using a unique cross-country data set on large-value payments. We document that the amount of intraday liquidity that financial institutions around the world use each day equals, on average, 15% of their total daily payment values or 2.8% of their countries' GDP."," Biliana Alexandrova Kabadjova, Anton Badev, Saulo Benchimol Bastos, Evangelos Benos, Freddy Cepeda- Lopéz, James Chapman, Martin Diehl, Ioana Duca-Radu, Rodney Garratt, Ronald Heijmans, Anneke Kosse, Antoine Martin, Thomas Nellen, Thomas Nilsson, Jan Paulick, Andrei Pustelnikov, Francisco Rivadeneyra, Mario Rubem do Coutto Bastos and Sara Testi",1089
NBER31401,Policy Uncertainty Reduces Green Investment,https://www.nber.org/papers/w31401,July 2023,"Government subsidies are often used to stimulate environment-friendly investment. We find that Chinese firms reduce green investment as the uncertainty of subsidies rises. This effect is identified from weather-driven fluctuations in air pollution that lead to fluctuations in subsidy allocations: Firms in cities where weather-driven subsidy uncertainty is high engage in less green R&D investment, patent applications, and research staff. Industries that are heavy emitters and those focused on environmental technologies are more affected. The results suggest that policy uncertainty may originate not only from political and macroeconomic shocks but from behavioral mechanisms that link policy to salient recent conditions.","['Mengyu Wang', 'Jeffrey Wurgler', 'Hong Zhang']",31401
BIS1088,Big techs and the credit channel of monetary policy,http://www.bis.org/publ/work1088.htm,2023-04-06T09:00:00Z,We view big tech credit through the lens of a model where big techs facilitate matching on their e-commerce platforms and extend loans. The big tech enforces credit repayment discipline with the threat of exclusion from the platform.," Fiorella De Fiore, Leonardo Gambacorta and Cristina Manea",1088
BIS1101,Insights into credit loss rates: a global database,http://www.bis.org/publ/work1101.htm,2023-05-26T09:00:00Z,"Credit risk was a key factor in the Great Financial Crisis and numerous other crises. Banks' overall credit losses tend to increase suddenly during a crisis from the typically low levels seen during ""normal"" times. ..."," Li Lian Ong, Christian Schmieder and Min Wei",1101
BIS1112,Trust bridges and money flows,http://www.bis.org/publ/work1112.htm,2023-07-25T12:00:00Z,"Cross-border payments are expensive, slow, and opaque. These problems reflect multiple frictions, many of which boil down to limited trust among counterparties. Trust plays a central role in exchanging credit-based money. End users need to trust the issuers of money, and issuers must trust users to satisfy financial integrity requirements."," Tobias Adrian, Rodney Garratt, Dong He and Tommaso Mancini-Griffoli",1112
BIS1091,"FinTech, investor sophistication and financial portfolio choices",http://www.bis.org/publ/work1091.htm,2023-04-21T12:00:00Z,"This paper analyses the links between advances in financial technology, investors' sophistication, and the composition and returns of their financial portfolios. We develop a simple portfolio choice model under asymmetric information and derive some theoretical predictions."," Leonardo Gambacorta, Romina Gambacorta and Roxana Mihet",1091
BIS1102,MPC heterogeneity and the dynamic response of consumption to monetary policy,http://www.bis.org/publ/work1102.htm,2023-05-30T09:00:00Z,"This paper studies how household financial choices affect the impact of monetary policy on consumption. Based on micro data from four major euro area countries, we estimate structural parameters to match moments related to asset market participation rates, portfolio shares and wealth-to-income ratios by education and country. The country specific distributions of the marginal propensity to consume out of income and financial wealth are not degenerate, reflecting, among other factors, costs to both asset market participation and portfolio adjustment."," Miguel Ampudia, Russell Cooper, Julia Le Blanc and Guozhong Zhu",1102
BIS1099,Who holds sovereign debt and why it matters,http://www.bis.org/publ/work1099.htm,2023-05-08T12:00:00Z,This paper studies the impact of investor composition on the sovereign debt market.," Xiang Fang, Bryan Hardy and Karen K Lewis",1099
BIS1108,Innovation convergence,http://www.bis.org/publ/work1108.htm,2023-07-06T12:00:00Z,"This paper sheds light on convergence of innovation (patenting) using data from two-digit manufacturing industries in 32 countries over the period of 1976-2006. It shows that patenting rates tend to converge over time (patenting growth is faster when initial patents are lower), including within countries (across industries) and within industries (across countries)...", Bryan Hardy and Can Sever,1108
